date,team,points,assists,biggest lead,blocks,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,lead changes,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points in the paint,rebounds,rest,site,site streak,steals,streak,team rebounds,three pointers attempted,three pointers made,times tied,total,turnovers,wins,o:team,o:points,o:assists,o:biggest lead,o:blocks,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:losses,margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:points in the paint,o:rebounds,o:rest,o:site,o:site streak,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:turnovers,o:wins,season
20091124,Nuggets,101,27,23,5,32,29,79,38,23,33,23,14,1,4,14,8,19,12,0,1,8,0,60,40,2,home,1,16,1,14,11,2,1,203.0,22,9,Nets,87,18,7,9,30,13,72,28,28,36,26,13,14,-8,-19,-12,1,0,7,32,37,2,away,1,14,-13,14,20,5,23,0,2009
20091124,Raptors,123,28,21,8,35,13,77,43,23,37,28,15,0,8,11,8,8,21,0,0,8,0,38,43,1,home,2,7,-1,7,18,9,3,214.0,13,6,Pacers,112,26,0,4,27,14,86,39,24,26,22,6,11,-8,-8,-21,0,0,7,26,34,1,away,-1,3,-3,10,27,12,13,5,2009
20091124,Wizards,108,23,17,9,28,15,93,44,20,18,14,13,18,9,1,1,10,-1,0,0,19,0,52,47,2,home,-2,7,-2,10,17,6,11,198.0,14,3,Seventysixers,107,20,4,9,26,16,94,38,17,23,21,8,1,-1,-10,1,0,0,19,44,45,2,away,-1,8,-2,9,27,10,11,5,2009
20091125,Hornets,116,24,37,16,34,41,93,42,24,32,27,14,10,9,35,-3,18,6,0,0,15,0,74,49,2,home,1,13,1,14,18,5,6,195.0,9,4,Raptors,81,15,4,7,30,10,87,30,23,23,17,8,35,3,-18,-6,0,0,12,44,42,0,away,3,4,1,14,19,4,15,7,2009
20091125,Celtics,113,23,10,3,27,19,78,38,22,39,30,15,12,4,3,4,-6,-1,0,1,11,0,42,38,2,home,-1,6,1,11,27,7,14,187.0,12,10,Seventysixers,110,26,7,2,27,23,82,39,30,26,19,9,3,-4,6,1,1,0,12,32,39,0,away,-2,4,-3,12,20,13,14,5,2009
20091125,Pelicans,102,20,3,4,42,23,93,34,24,31,28,16,12,9,3,-10,-2,-8,0,0,19,0,44,61,2,home,-1,9,-1,8,24,6,16,201.5,23,6,Bucks,99,27,13,6,38,23,96,38,26,22,16,4,3,10,2,8,0,0,11,38,49,1,away,-2,10,-1,8,25,7,18,8,2009
20091125,Kings,111,22,24,6,36,7,89,43,22,18,13,14,0,8,14,6,20,10,0,0,14,0,52,50,1,home,-3,9,-4,6,27,12,0,216.0,18,5,Knicks,97,19,0,3,27,14,91,35,19,18,17,11,14,-6,-20,-10,0,0,16,34,43,0,away,-1,8,-2,9,39,10,17,3,2009
20091125,Magic,98,19,11,2,32,16,77,32,21,33,20,15,8,3,-1,-2,5,1,0,0,10,0,24,42,2,home,-2,6,5,16,31,14,6,193.0,14,11,Heat,99,12,9,7,35,5,85,33,24,32,27,5,-1,2,-5,-1,0,0,15,32,50,2,away,1,6,1,7,20,6,8,8,2009
20091125,Pacers,86,13,13,5,43,6,85,32,21,20,16,13,3,7,13,-7,-4,-9,0,0,9,0,28,52,0,home,-2,2,-4,6,17,6,3,200.5,8,5,Clippers,73,9,11,6,41,4,90,29,18,14,11,9,13,7,4,9,0,0,14,32,55,1,away,2,6,2,8,10,4,14,6,2009
20091125,Pistons,88,13,4,6,27,10,79,31,21,31,21,15,3,9,-10,-9,-14,-18,0,0,16,0,26,43,2,home,-4,5,-5,17,14,5,2,183.5,14,5,Cavaliers,98,20,18,8,24,9,68,34,23,28,21,4,-10,9,14,18,0,0,11,26,35,3,away,1,6,2,4,17,9,15,10,2009
